SNR_dB,BLEU,SentenceSimilarity,MI_LB
0,0.52815,0.92287,-2.60505
3,0.84671,0.97377,0.39377
6,0.94599,0.98992,2.46223
9,0.95669,0.99156,3.26872
12,0.95917,0.99190,4.11809
15,0.95936,0.99192,4.35063
18,0.95987,0.99197,4.80473
