snr,deepsc_bleu,deepsc_sim,deepsc_mi,huffman_turbo_bleu,huffman_turbo_sim,fixed_turbo_bleu,fixed_turbo_sim,huffman_rs_bleu,huffman_rs_sim,fixed_rs_bleu,fixed_rs_sim
0,0.00126,0.85178,-0.00140,0.00042,0.85719,0.00042,0.84238,0.00042,0.83363,0.00102,0.82260
3,0.00135,0.85187,-0.00014,0.00167,0.85783,0.00084,0.84294,0.00021,0.82176,0.00077,0.82151
6,0.00135,0.85176,-0.00007,0.00106,0.85639,0.00000,0.84032,0.00000,0.80497,0.00077,0.82184
9,0.00141,0.85187,-0.00007,0.00063,0.85639,0.00000,0.84245,0.00000,0.80161,0.00077,0.82190
12,0.00138,0.85189,-0.00010,0.00042,0.85740,0.00000,0.84386,0.00000,0.80140,0.00077,0.82190
15,0.00136,0.85195,-0.00010,0.00042,0.85386,0.00000,0.84387,0.00000,0.80140,0.00077,0.82190
18,0.00137,0.85192,-0.00013,0.00063,0.85140,0.00000,0.84286,0.00000,0.80140,0.00077,0.82190
